A_A,B_A,C_A,D_A,E_A,F_A,G_A,H_A,I_A,A_B,B_B,C_B,D_B,E_B,F_B,G_B,H_B,I_B,A_C,B_C,C_C,D_C,E_C,F_C,G_C,H_C,I_C,A_D,B_D,C_D,D_D,E_D,F_D,G_D,H_D,I_D
46351,55502,23842,20083,53944,30342,9474,57407,91575,75216,36896,16843,11017,77599,46181,95892,69393,88420,56127,96160,57920,20959,30292,74842,10213,13198,45942,58905,19650,84459,73408,84662,87264,64886,1570,97504
84506,19755,24471,24648,50651,55468,64653,61988,73091,53202,90572,63255,47531,53903,98743,71006,44130,25853,87304,88229,13765,17032,55102,30209,2781,96062,10625,14568,18691,52437,68165,8071,79423,9561,30348,71010
23678,31112,26342,24614,14001,51558,84155,48958,70610,31039,27007,95170,85344,13868,82910,20416,47709,60566,132,39495,22597,23523,26914,88612,16842,49635,48104,57965,92304,9274,24656,73710,67626,99844,30689,35542
10088,93959,22753,2345,23208,20513,97972,5399,88828,13836,96303,34061,9424,61478,44947,48418,51704,5593,49396,79980,8666,12688,12666,91213,58775,90259,9114,51512,7705,58042,45832,27632,38185,9276,48494,24100
10876,40287,51950,70630,45494,23245,5411,44976,76509,73157,61048,65203,53070,82165,55287,13695,63907,48378,41909,30307,691,23209,73347,96673,40701,82698,4794,931,10921,60932,36437,85528,32725,38150,42272,75159
7930,40628,11969,17562,36619,11695,60947,91288,74299,6804,64082,69955,27568,31236,20190,65219,96001,72981,11951,84390,72990,91519,60381,5505,80221,8773,87815,64739,78300,78333,5848,68777,32645,70760,76448,50572
97744,69553,10598,97238,31686,58028,13947,88132,95619,50036,74896,23993,38984,40362,75493,29456,44224,38176,86101,67013,98370,41454,77602,75877,5411,18603,18864,1960,84376,92197,11699,4677,82394,57566,86146,6594
43916,73249,70349,42980,85488,19275,12573,80874,31187,90590,20493,55847,64870,65886,90099,50984,98384,18731,59242,76285,18666,60192,65452,58900,40719,24164,94957,70328,77357,25580,24289,58882,78143,58627,64592,95633
93410,10866,85333,14422,14135,970,81801,23202,75857,79383,48998,74618,45819,28674,61890,78407,79457,93615,24321,6470,95402,46079,58019,23566,53817,30683,55597,79894,33594,78516,2094,94531,60351,83270,20376,86274
23952,61933,87816,74760,72626,32280,89200,42886,11718,43775,53092,11227,8982,754,24115,78611,33456,12548,56199,79151,75369,14913,69008,1096,66654,30713,42825,25255,50094,58217,13516,59934,69421,4361,35174,82636
73101,69596,68477,95816,55245,66077,14350,69542,188,26465,52183,77690,62012,4454,36604,91618,80716,39148,10233,37048,16343,71491,89230,92726,49007,22646,99298,58376,27577,72581,17310,64518,85845,71031,50909,46056
60851,46841,37382,19962,27480,56467,71344,1301,51614,12301,6074,80195,15657,5124,949,21974,50942,23907,86990,27667,62460,2998,94442,64625,92766,53362,93971,63603,60571,54771,35670,46564,27012,81778,81565,6538
16113,32823,17319,59498,17850,80062,44476,35771,94886,61309,99971,98731,34810,41780,41563,29047,31537,91460,11333,24980,40848,45651,30379,96294,76311,77717,51894,54211,12041,7349,23137,18017,86067,19450,56731,37015
94990,88461,92859,20252,61319,32893,1056,47749,61670,65691,85503,80607,49713,32905,17396,89410,27762,29374,38905,38005,696,84581,3090,17894,55038,80714,38824,26727,20295,17751,78596,1688,31093,63906,90361,18219
82971,70676,82917,66107,91173,16426,74618,72242,24234,97037,94642,48781,84244,28683,60710,31234,84337,49820,10206,5643,60951,75099,20765,60639,37655,45855,19931,79730,3536,51695,47292,39211,37142,61754,44382,17850
80736,60290,99331,31392,5159,22546,56063,20892,86876,86567,69936,46111,92500,51013,62783,58036,54390,8534,72606,55470,19887,94320,20558,16017,86854,1244,16281,97023,70427,95688,99665,84498,7742,13883,827,89624
55899,50564,55855,68992,46370,8208,36474,16033,24034,84634,40854,67940,92263,95406,2982,81292,56996,17304,35058,44995,27242,20485,18927,58810,47843,94083,64151,17592,1399,87848,12987,98072,51596,18009,51418,51458
68791,93758,29162,5146,57893,85581,89394,81507,62760,44044,46396,93263,53801,34013,59692,77720,65005,53127,79841,40959,42651,65190,40715,90667,93494,10434,90579,32781,88553,85446,97497,40977,73099,74932,9746,10742
21211,90949,37322,57895,16312,22827,7675,31358,19747,45854,47861,16514,5459,9313,58330,46475,79275,73884,47452,20743,85915,16093,51738,62032,4287,81606,66939,80039,68111,40310,38584,42409,84294,56458,59011,44510
50349,93617,77419,44760,40232,74320,2395,99180,39577,16442,79264,54271,62955,36782,70878,55229,20744,95767,9575,15249,48961,13976,46224,95981,49191,53345,14853,32568,69408,34267,58929,8530,98055,44800,46597,42140
4735,65952,52620,24559,65923,78243,1890,20312,47577,13658,83466,61091,62705,86213,14707,28737,68090,15510,49369,57241,60331,64207,34372,16919,28098,27182,34640,8943,75064,67438,27971,25387,48610,16737,72187,62598
67434,7457,70416,83339,23131,17690,26721,96527,29783,11805,63274,53407,16148,39116,87359,10288,48977,60762,73607,26783,20386,3363,48090,422,49783,73631,61054,87824,71574,10910,27798,25851,91543,11078,40648,66193
67238,64694,44941,67303,98652,84557,91456,54495,70746,43310,44043,85232,51180,57322,31032,91160,44665,49467,60944,3166,42,19814,58467,10564,70401,11120,42005,3185,14688,23867,94604,42670,39049,50692,69403,29882
31933,679,87380,90622,91187,21742,72684,29149,16834,36731,62401,4705,1809,76933,14558,94132,11669,10443,8497,32914,45614,76300,54077,33742,65361,50784,90805,32321,11521,97614,67505,19725,25406,33529,1858,62946
95060,740,22317,38456,16521,34864,19178,22412,19926,40987,24817,335,26625,6336,99553,53687,33611,26559,83237,15235,22281,9972,14340,50327,20576,75595,17373,69963,1935,81959,32832,6306,60185,776,62258,25595
24010,50314,88112,41167,29843,19698,96181,23163,38583,89785,54214,60705,92529,64248,18633,8276,96483,16921,54436,21965,18340,82,61779,48260,89120,75737,84534,16138,16059,74086,4050,11659,16151,21719,53752,7966
41420,19578,17521,62335,57324,96934,30360,21514,39355,51099,92885,52303,50012,19289,59538,49347,85204,39304,2944,10156,19629,13221,13402,28174,31876,13680,66040,66702,3441,16115,15938,71112,99412,2395,30393,10279
80310,76359,81814,87944,98843,56153,94179,23093,50072,84592,28128,28142,76368,89464,84769,67233,51916,88352,34212,78223,22466,9239,22495,4105,46038,59146,43761,64822,58703,22507,12987,68642,58521,98523,95521,28985
83389,90599,25865,86407,92732,39457,79689,54096,96891,10832,75687,58299,29531,54359,46661,79031,52446,5258,13205,83444,67812,33524,38184,16535,49916,17898,71692,94859,66973,67610,87102,53856,52970,93006,59157,58754
43844,93167,9557,9823,55515,98234,85645,56213,15537,22890,69850,74695,48667,56994,78712,7466,23259,49963,28313,35822,89950,52417,71948,44815,32395,1768,42317,24385,75649,69270,36171,31280,36489,95669,36700,26915
23752,76918,51085,49359,99110,83382,76975,66894,6231,91687,58999,11813,97050,56847,88091,61330,59601,34191,96441,79038,79667,49674,28071,41804,49939,35462,55810,93299,94398,34364,76675,41010,28787,57928,56128,28288
39486,655,79605,36709,10848,23716,78251,59685,87832,59627,16187,61583,68100,92063,41350,66928,45142,4017,99480,24062,67516,88332,76185,42274,59337,93750,30813,14315,43195,6995,87463,92317,60030,84155,44956,42541
55200,54494,70412,23466,29617,37846,47681,47225,98950,11261,75704,83522,4535,27966,3179,68321,85274,93558,41101,97077,28690,46389,83863,30522,16004,28019,40770,12929,27223,64405,30537,51388,49303,83353,11706,13101
87004,99581,995,53913,56053,85882,9204,91390,60286,8342,69234,38137,24978,917,82884,50436,3793,55244,33691,74597,73720,5606,26014,24267,95834,11028,96315,79863,34851,24065,9974,93737,21872,49614,52662,28613
6336,53365,26087,83015,79567,31897,2844,95401,73447,8780,42210,43880,23762,64060,42126,47881,55869,67380,98965,8987,81501,80442,71079,60250,90813,22154,85966,78787,65580,53325,63132,6298,8966,22301,74508,31753
70843,97919,43334,89063,56122,22815,2660,41832,87362,43874,59256,76023,53167,4927,78456,32844,76621,58760,36276,47668,51530,38259,55321,9522,1785,91749,5095,51073,19935,46668,82501,39564,77493,47517,61179,67035
2538,48453,92121,20519,42108,28574,75800,71458,65560,93735,78457,88312,47441,62595,91733,74881,9266,79656,83386,23379,39126,91059,18287,6334,74723,28872,42834,58197,70227,83870,76200,41730,82389,60895,95322,48763
22342,86569,70877,36097,36334,80858,23786,53073,16193,28151,51984,53556,98301,96817,68454,78190,95056,43645,36616,65821,14158,49055,65623,50523,47074,10644,10140,70135,85551,27298,76460,20490,78130,58114,57373,97545
42989,5757,44778,64591,36719,22047,2595,44504,6146,58148,51664,21450,7076,34013,56603,53241,43798,62159,69463,38034,16053,98490,88521,70399,69237,91794,54434,16995,21443,84529,82977,7534,1168,48540,98482,3206
28339,51326,6133,92477,6333,63299,24099,19436,87995,80832,76146,56005,21978,67566,53420,36481,33705,90001,67066,14235,40887,3898,30262,88359,23071,9020,98146,84306,40985,90523,64849,7336,52845,39359,46308,96914
92575,13828,68587,79617,34016,87817,76222,70251,27399,2496,85124,93669,68927,74979,10582,12896,76810,30150,6984,27274,18874,31691,12959,97631,42992,12048,5149,10688,15227,26018,56523,57934,70806,53622,5970,83243
34605,19979,10046,93573,28411,16127,54186,4339,31658,77990,70282,83290,68689,1388,61473,24102,31812,29553,73518,19641,98235,61038,86759,27068,24271,18942,61945,72765,91734,61893,54766,76398,37995,47845,27634,77282
96083,81868,42480,6269,11372,21746,14990,16538,26682,42678,13381,92021,75729,78673,53985,95063,85761,71846,44014,96278,47745,2187,69992,44336,59904,13074,38388,40169,6574,30286,17701,16505,23996,28445,92300,59677
74495,35277,92508,60132,53434,23171,10456,80891,24740,47377,76757,13629,91788,94297,92502,29271,75597,19830,78944,78351,92023,58084,55605,34354,24700,49490,95818,36737,4463,75889,38736,13649,6896,34503,36000,53673
57834,19191,41210,79387,49379,64309,12384,48005,45605,61447,66491,25053,97406,22129,36343,60682,23056,85794,33899,39095,84593,99199,55362,24894,47209,12810,63590,60110,3129,9624,11447,69466,74269,75582,50080,5918
21708,11633,38056,16894,29274,25899,13410,71103,7620,96600,33055,48977,21264,27142,72870,77433,27853,88616,83164,48458,97508,71879,70065,64362,35304,14907,59561,51248,56873,37233,38138,45826,59858,17627,18901,41341
70046,92401,8222,86815,66828,29590,49908,45317,8443,74654,10723,85799,90157,38696,22669,64420,19100,82832,44214,16603,52619,70187,42355,17043,6916,74888,75306,74963,56190,47480,89579,65944,55026,67860,95731,73635
84708,11159,81596,24189,7217,29450,45210,13832,50258,68844,57928,73099,40734,54925,29570,95873,75827,46619,86503,85069,11813,5942,28447,12504,86713,95528,93744,82885,99110,37141,76838,91499,50269,92341,6347,24360
22141,79201,40418,61432,78747,1614,56965,4375,47986,97389,56424,41292,45865,79081,30710,27597,92351,81061,72863,55745,35740,21988,86614,76293,98997,68067,97607,29239,19866,4583,79774,36337,57423,30967,83100,12367
25419,65254,3126,70056,84332,55250,92752,53292,53382,87897,19586,22849,53225,21020,45307,28383,40590,78308,12200,35391,93912,12929,29196,60864,82810,93405,51201,27786,99467,66444,26171,15760,35163,24424,61376,3227
14866,47079,2884,1021,46751,59532,27440,2199,50745,97696,95327,61610,52691,99598,44473,93067,30286,33554,46754,42588,22166,50386,615,95132,99109,82375,31861,82948,55006,26136,80541,43651,93782,26303,10905,98673
20626,75035,69170,94709,43442,49306,28594,90843,55320,16851,67098,78939,30540,79305,94441,11688,11757,82342,55407,88755,59266,76310,85734,11128,40054,64532,12434,53895,29751,72032,28829,60916,75906,42182,14445,44688
73054,58889,7025,67594,39840,91986,38467,9049,35448,67028,72658,2545,22667,94081,72341,71258,80982,7924,35830,98999,20453,12589,50354,37133,79146,5159,73168,10416,13124,36488,96929,50805,96522,55239,68853,35118
94792,33810,64262,97378,117,14949,71516,46205,59898,20823,46957,97352,6878,38203,95300,24113,31320,9479,90173,73366,66276,95655,22775,79267,12790,75565,1610,64284,86135,24799,31052,30881,81702,85460,14512,65815
10964,64245,42568,40059,46481,15635,31309,83916,61387,75931,92001,64937,47352,65642,59540,22976,84495,21472,5950,69734,17633,61560,76795,93251,57753,37419,30837,70364,22198,37746,24254,48773,93457,80231,26311,12884
6277,51417,45882,54948,60203,65262,15065,25374,14185,70336,90996,93921,6004,68917,11581,20436,67213,54762,96183,6424,70963,68336,2629,22486,50287,36129,45707,9239,62948,80615,44190,65289,78459,10043,50872,91202
30215,66773,21075,33716,61156,29222,64228,10124,93776,75371,82459,3016,94401,74881,48677,80548,49008,34213,25145,74425,15895,15199,73277,11272,23346,7766,90971,38829,12487,26947,86652,82561,11290,60686,86353,73548
72442,29758,55447,89466,5197,28550,44108,20625,38135,10735,97667,42950,60632,90688,2287,99401,70388,58641,68120,11177,44627,65610,91550,26885,47123,52994,57806,72825,74529,42573,16109,30195,17099,76468,61143,10524
44095,63440,28310,61045,85249,6081,94016,33007,5887,92908,97039,4907,66849,72267,29208,2030,21665,60604,4526,49126,25337,44842,63131,91398,91251,20090,84768,46455,88958,93164,95929,75174,38207,79629,3486,79519
41197,56719,67143,95756,17196,85689,23093,27103,90635,68593,17906,82899,792,34304,54306,15376,13775,17969,27994,68445,61189,12909,10581,47487,3996,27081,75685,18079,46788,50489,79800,79391,57695,16678,74165,87968
36929,21667,70243,66137,83658,74581,34143,15661,68293,74934,75442,90895,46876,24957,77715,88828,20144,57640,94478,74517,189,69394,29505,42971,77904,61020,82573,82680,74703,5878,66020,97734,9401,50519,88681,76172
3316,77796,18429,16583,60906,58783,54043,75586,36794,63340,21715,8434,13446,79828,22586,68017,97866,70386,89321,43716,38752,35286,51304,90215,58682,16763,6331,62930,79556,76077,99439,5102,88510,37121,15564,84413
54094,97584,2541,34739,52618,20435,78109,63953,54852,3811,47085,18616,22077,45818,94336,71336,22007,99243,33587,69726,38253,47633,94798,6251,13574,19931,58442,44607,84375,80299,95786,53652,10213,45337,24111,67867
86128,55375,20738,70157,39205,63799,22988,56877,93267,59209,55794,96610,63986,28788,14951,71754,76487,53842,1355,76718,43795,24419,20087,87666,29479,74931,38366,11424,90951,23459,94715,59974,46852,41218,59610,62034
41407,34883,24176,35903,31657,4640,97219,58512,9788,67318,42749,10634,86433,92144,10240,96327,29193,30154,4158,70953,98340,42113,79375,24540,75392,36329,56636,53766,79589,83190,37921,49065,34459,94614,35728,55748
25174,10502,41979,55405,86826,98862,43927,37793,1965,83505,92276,93053,26470,29698,93612,88162,82964,80371,21526,69825,37959,99805,31571,46463,36251,52841,17289,27392,73472,10114,24436,64141,95147,78638,94658,72068
19174,89158,33522,12372,65019,41905,41528,30243,16176,23731,8729,6181,32491,94978,75893,1226,12192,46841,65166,77027,25040,43168,57468,80199,20184,93398,32178,17401,26798,9713,50336,75962,1092,17081,12969,21613
92031,37127,38884,17310,10574,75643,88033,62213,67729,42869,52141,66557,77174,60782,74796,39857,52022,93149,85931,61303,72479,3559,30002,76246,45081,66877,63463,32554,4325,59136,33862,9178,40194,39915,84771,1355
70692,14035,34657,63753,50208,39401,60166,37732,86856,9904,63571,3672,56538,24807,33738,24414,16805,67636,98980,51950,4616,39379,14415,72676,26355,3942,27281,87879,54356,82444,16781,20832,9116,66068,69799,77334
12796,87212,40332,16228,99678,72371,59842,95904,95306,12931,44246,10903,76999,198,16763,22266,41910,19853,90552,89332,11406,9407,61226,67480,52539,85192,36809,58604,83877,98524,62202,23121,89083,69278,38358,57628
252,66559,5298,27024,39995,1385,51918,62984,48809,661,40963,58353,54106,57481,1773,44785,58364,32958,67103,91472,24488,16730,27130,84477,53981,11739,34562,28383,93132,62384,69743,50620,34947,22174,23017,31627
45833,78305,44126,89018,37479,97449,10715,55983,64816,71181,74426,14756,87407,77026,37023,2531,11072,50211,89309,9614,67305,18586,2827,3062,22417,58053,88325,3345,69509,29113,51963,80884,34855,39417,28637,65063
48321,38089,26720,67248,52252,35469,60910,98218,20661,38421,14770,97969,75101,19063,11059,93797,44708,78040,37792,96677,32237,71258,97175,2934,75058,84259,73336,72918,44470,23869,48072,21436,37451,75455,77734,29422
63891,32797,98216,64413,79138,83779,99199,90559,5765,5786,76468,29528,90088,72635,36680,34884,88890,23504,40420,90911,45088,34083,86168,48057,1985,8634,54619,31123,34739,92067,76044,74273,15724,79976,72922,43170
1410,55235,21231,29038,34281,50026,96086,74984,77534,32255,25681,67987,24361,96443,40361,23144,38253,82523,41067,82488,64249,20564,5992,54095,34496,19001,83334,64198,31988,53666,28381,28331,73995,36487,11116,74284
64671,66918,26400,83639,11290,848,62826,56479,28318,15677,3779,29669,23895,62098,7286,78098,90544,53152,7917,50759,2266,96905,24644,30973,69959,34247,84099,74384,52570,10143,12190,7210,1790,99576,67674,68001
12888,95311,28519,98591,49599,70606,27794,29912,60603,94389,3927,60137,8517,17521,59528,11128,63876,18539,48522,47684,52748,73894,31060,76474,11268,2604,77686,90867,74348,26067,20784,12327,97697,69468,39571,89709
64734,78893,97011,7960,6121,89483,23663,34941,67089,38052,26355,133,16848,79681,31935,62029,88686,94430,22015,46085,90803,31230,21760,31704,85574,47680,78763,67371,36612,4112,82557,27962,95453,76548,71667,37741
54339,83202,22450,72632,62261,78771,95467,53158,60008,19430,59869,11669,24058,22770,33686,26090,61245,77282,41595,63257,18172,98600,25085,89930,68215,20279,21291,18736,46286,62729,60744,76779,45147,92410,95955,33671
87651,83841,86577,67357,88184,71762,56053,65501,46721,70132,17184,30975,35101,82385,23498,35142,22741,1032,81188,83547,26648,38401,74700,22983,52270,99055,26901,8062,48045,84844,43088,17103,62025,68455,32073,13655
55667,38662,71256,95664,68989,65337,18610,36598,8822,50698,99487,77421,88268,33602,67780,63184,7333,6765,53091,11070,21603,76627,2519,45938,61430,84641,2723,4409,18439,47674,1469,99524,23435,23035,43530,54421
60111,92110,60405,30520,86808,58504,57519,16844,17518,93428,19667,66106,39150,60043,38835,10933,38774,67094,82388,96772,90054,92018,43686,63878,1319,31692,85084,33571,34564,21969,21726,6271,24972,78763,59829,37852
53913,40859,58860,88449,70358,52020,28260,70713,90367,21058,78487,459,52035,80169,92703,83095,3002,39071,76892,17034,98603,35049,94704,12424,46776,79573,93284,63197,68303,39328,8188,2560,18795,45912,73289,84228
68074,2945,30808,7078,71283,8708,57041,58591,85504,66418,58546,98131,83494,68938,16278,46361,20756,33878,81827,31542,12077,68900,49505,23222,21336,83580,97960,86540,5129,43562,16519,81112,94272,34628,8351,71510
26854,46767,25600,77048,35115,95608,6606,77664,55909,77431,35165,23273,22279,14986,62798,16174,90159,55824,38466,27896,53721,21312,96092,40062,44613,12582,80272,448,1372,78930,2970,59886,6802,33125,91438,27611
28070,2258,93599,41715,14707,57996,92918,17171,77551,73204,43887,80130,92720,34096,21714,37454,7707,2503,30184,12509,72983,88254,53109,52730,15160,9740,39108,26101,99860,94339,1934,81319,65404,40826,93630,32363
13560,36847,29486,61666,80718,25258,17082,58467,97462,95482,33333,62232,78915,90945,16301,22192,93938,77465,36361,71413,82880,37607,38431,98302,33593,56764,67694,27920,1526,10018,40141,32172,99859,33600,44065,37594
41138,96214,70082,76403,21066,70128,30170,44554,70069,98928,81948,80965,21276,68160,54827,82691,90082,79854,92429,73986,79748,88356,83671,62605,99322,29787,30668,58868,42255,87451,26072,25866,68500,80854,6230,16428
68343,87460,71563,29437,34234,19692,96288,86799,58091,72629,51721,92435,93515,21593,54710,42716,9427,85857,12365,57727,34429,3670,98593,69746,11099,31244,70538,18066,10574,94061,45674,10055,42809,12625,1821,23422
3023,41464,42958,84940,99407,44842,45209,77623,22487,56246,77439,60275,75857,78968,68167,2426,63252,81452,43696,65178,92004,16722,12104,64741,8177,88798,25777,68489,97911,12748,15683,54499,85301,21433,55023,16087
7790,81649,10581,83373,55960,88906,8914,85828,8264,42865,15179,16375,57655,65849,57852,7005,50480,87858,71014,46045,32221,57415,12375,98756,78693,34911,40226,78056,67006,8554,26046,81555,70808,20024,10389,44701
2765,20850,4455,88725,81487,89105,67934,25504,50161,4611,39313,48151,59799,96502,65554,3724,92884,40512,84339,91394,85503,5338,35034,41933,56845,54965,50901,8843,55268,53661,90738,8942,11723,93129,90080,6934
15190,71878,12324,80890,90384,42511,14351,97085,43285,48920,99953,72942,24938,81832,36267,7945,98708,26114,68256,88143,822,75402,33222,11289,32938,94937,31424,74680,38699,12683,1243,13670,11508,69212,98962,73995
91042,81348,74570,16931,23159,46624,31160,88169,76639,35317,27402,75101,20332,88461,51613,66836,77848,17900,89688,85421,95309,69041,60616,15678,5846,67726,90801,96571,70567,27693,32930,81464,6555,29109,34703,62405
14193,35863,75500,66369,88680,78953,34552,11218,68461,56691,8653,98778,29641,3291,58659,41655,79250,29777,71186,99291,61998,90616,27273,43630,91492,22591,23159,89828,77177,81839,5776,34178,53291,61277,35056,92687
35682,34073,74561,73972,68629,53549,57575,17606,44741,92798,23597,82941,43567,12145,1048,67823,42119,10789,7529,83345,34167,16751,18172,68806,16041,66850,75626,37116,44872,10883,41888,98566,32190,36586,35992,99432
12243,28614,99706,82086,95969,88363,46298,29149,69299,10666,87919,46526,54477,13125,26749,93829,84140,56349,2576,65981,20778,30091,16893,54330,88847,58736,84838,53258,81280,51455,79151,28905,46609,8176,77462,12660
61180,85688,32431,44892,38291,32692,7525,24206,63424,76619,58632,72145,93337,20808,95767,46744,60193,78488,71504,33649,35212,97304,84095,43942,98226,56664,80347,31982,15164,70283,32934,82272,37686,71885,82468,9471
23400,32304,49184,48393,42822,67945,7780,51886,34740,52455,36760,10094,16261,83973,14726,48853,19017,55463,37765,68076,47679,9872,38458,6460,87704,40942,56589,14174,51548,4949,56020,50204,72773,73309,13804,14507
60261,18791,66912,22895,93576,77066,69121,39064,68102,94618,59429,81474,99706,3842,75564,9596,35652,78317,1180,54307,64179,38826,163,19511,62781,12460,16725,82248,48274,94124,58383,2345,50223,43349,94001,79657
23147,15625,43236,52303,13922,63892,1216,27388,43082,46933,4404,22044,44995,7290,2522,59137,65784,7823,13407,29354,19241,6000,3775,66173,25081,71674,11313,44320,52588,50487,7592,29082,82035,26785,2315,9529
62944,24391,14927,67701,74896,79413,63254,50557,20511,72696,96195,82432,30038,22792,39396,36827,83824,40030,57837,53504,53656,25345,81343,47503,21562,35730,3690,71125,94702,27953,61742,48683,17690,89189,78834,56243
47833,85125,50531,99785,98409,66007,81944,49450,83678,75738,53448,11295,33251,3667,90928,13456,84764,17803,38372,67627,84039,41798,228,41898,72376,64179,84852,98489,33743,63299,61600,17749,15844,71125,60383,55044
79796,18687,51179,8392,41743,9248,63578,16221,79083,18185,25304,72283,76774,12848,16848,31701,73586,23160,68544,60161,84215,41548,44868,64048,87556,94823,14882,86740,80468,12172,4913,50842,97741,43249,84474,51461
8117,5044,87149,5542,10260,731,91789,98928,23430,84228,1115,90473,7356,19531,34683,43339,66761,46531,67501,62122,28791,27608,51995,84261,84580,89256,24209,36939,35459,79901,14762,57726,31717,41127,758,80960
5628,72505,58759,95366,82495,14200,98108,65502,89276,96834,9072,59595,87440,32486,36574,91713,12707,66672,49237,88230,30179,85837,14604,46852,55109,84824,36149,32752,37205,38243,65952,20807,59824,31309,96092,40305
93422,14703,65549,51430,10055,89001,54476,58240,30259,8855,23299,97576,81723,76487,76092,47556,82794,83937,52798,54057,29951,59432,47803,57528,36079,84382,17754,57530,33627,3839,96970,97370,81893,30863,68510,21832
91879,2485,6447,24015,88897,17729,56454,56583,75927,8092,18596,1280,40683,13314,70292,2102,67773,74055,2349,29948,56399,90495,38972,25288,41765,68638,40062,69976,13630,63186,45105,73298,85447,430,25618,39415
99884,55548,78610,17716,78838,20327,41152,89363,68319,51440,75743,19311,24670,29225,29670,74367,35213,47354,45886,20000,83590,82856,74805,61215,12061,85907,5997,50964,7425,58709,73008,28008,66996,84028,6779,99523
90023,65101,30201,12453,54025,35270,71189,34233,41315,68195,39230,24517,42363,30856,18433,90718,8796,32207,24997,19058,4478,13119,90521,53435,25845,33048,42778,24291,56783,50414,401,52058,86579,73671,24166,3947
24527,75721,17469,60894,88631,56181,64444,90562,51294,54807,15786,9880,24118,29163,31208,26666,8558,87835,32933,47418,30476,20447,17730,47983,1372,90781,94024,57199,45981,71368,73848,49798,27565,86051,6659,33355
11515,26290,71256,98710,86730,95769,28336,51406,31935,66085,87226,83450,54939,63310,53354,98435,77592,10821,87809,68570,58118,30880,60271,58732,27737,92476,20704,50489,73389,68725,76768,80722,74949,52850,5615,73513
22947,34759,72725,7331,8402,58943,46781,95109,55964,55335,62889,6304,76702,5779,99595,66573,90855,608,20691,56081,57332,88043,81371,38276,74776,79425,71710,12028,72717,95151,72584,39744,89731,59839,63036,33911
45699,31536,21323,68132,80947,17633,81586,87865,30741,88168,74077,8428,8321,5718,87713,71515,39714,94104,84560,23140,36529,84925,38378,30565,64492,1746,1623,91554,34949,34746,2092,54388,3655,95401,41135,12269
52999,80414,46607,6885,50771,69526,41431,36175,67861,53748,28343,79202,47378,4490,15388,36097,93663,14053,8015,13780,21296,63025,74670,8681,94512,32348,58447,21444,34360,55903,85554,87188,78899,11036,11236,19275
63611,6451,99097,39305,93536,3847,29888,19196,88015,54245,31859,92579,18954,89991,86092,41266,20309,84061,81125,20012,7184,32254,72827,50489,54012,62497,69075,72252,38882,17647,66223,19930,37545,98634,37693,29948
40509,56922,82240,55648,22662,56162,39497,28785,43692,36165,85921,97987,21206,63329,96476,76883,49289,26702,81468,90730,99976,74101,11104,48508,68329,47227,34324,292,42392,44875,12489,38640,4531,63252,30651,25922
55438,76533,92194,64144,14180,24604,87368,32272,56908,45440,81091,43746,29203,57813,15258,48386,62874,5001,31673,33771,248,2607,72605,7425,70821,67572,92447,80478,2692,74153,62926,83587,18565,28414,6454,39534
29092,44690,85668,77081,61896,64816,36639,78794,96550,61716,84246,68447,6565,20573,18463,59246,35711,82223,18179,5085,4716,11326,36144,1493,18012,81311,2274,6940,14852,11917,63301,94066,86784,2294,27063,29267
89050,42534,32396,17855,9047,40783,48258,64456,89393,70972,45060,70934,21526,70178,14292,96875,20167,15103,95428,28099,3734,86250,76323,28569,989,86250,50579,97813,81253,20034,52430,16622,48854,63714,41322,28477
30348,32833,14897,68236,69624,60092,11154,69945,48051,78827,66206,6800,58286,21671,56492,19963,10152,56223,28528,95843,62149,73339,13830,27589,84131,59613,4372,23837,8680,98113,12713,24179,14608,77485,35746,87547
64119,88914,99299,21509,14918,6173,80661,96897,72424,12326,50215,28389,51059,17873,79174,26411,32004,1908,35565,70322,89308,69403,34193,29641,16983,20937,58359,10003,41478,81995,75093,17097,92460,4497,11749,11338
24666,49557,64726,12502,11109,26329,55752,72800,82214,11729,11873,18327,20747,2005,67768,23531,96099,11625,20584,25023,74405,59661,49440,86335,88235,84215,3582,55437,32937,21105,15175,43199,19749,29401,86963,21904
73166,51875,81148,47534,59474,42649,45453,71680,12802,53680,727,49710,66313,37591,93496,12770,1745,16028,76754,80331,80059,23008,60191,99644,231,49216,55187,56576,84919,81666,35075,41788,3383,35377,8716,50100
69341,48080,43482,37506,3426,23046,31034,23192,54582,54682,36385,16466,77393,80911,91541,32662,9467,20784,72417,30731,26602,40851,92079,45362,32726,12228,22535,88414,39871,76531,19862,14539,70614,17742,31087,24061
38565,21935,94519,77670,65350,78526,22911,23885,39327,74195,41647,92337,41225,36044,8559,26408,27894,6089,83115,42942,41833,89563,30157,17906,96356,64798,21982,53393,5456,42997,47000,44734,74214,12245,77763,68136
85203,88780,72913,41291,63907,13283,2282,27597,28350,37180,65933,54756,88522,72816,91650,40391,34089,54446,93546,13631,15124,16326,72636,53481,63107,64999,61243,57993,12828,16627,70710,35128,71242,61788,42662,69003
84485,59571,22744,33271,89696,94752,57459,70541,24765,99448,80599,45277,20890,50206,45795,83008,68510,73,10721,43925,83718,35850,15094,19109,55429,74073,45014,27812,27768,43343,22704,34970,63378,49971,52194,49527
